unique countries,Score_2023,Score_2024,Score_2025,Score_2026,Score_2027,Score_2028
Switzerland,7.563525754333419,7.458007006534718,7.458007006534718,7.563525754333419,7.458007006534718,7.563525754333419
Iceland,7.526863056954344,7.481904294051387,7.526863056954344,7.526863056954344,7.481904294051387,7.526863056954344
Denmark,7.458245902600562,7.698819082434846,7.458245902600562,7.698819082434846,7.458245902600562,7.458245902600562
Norway,7.307307844291533,7.718478935673816,7.307307844291533,7.307307844291533,7.718478935673816,7.718478935673816
Canada,6.932251667132139,7.681165282140886,7.681165282140886,6.932251667132139,6.932251667132139,7.681165282140886
Finland,7.406510752217037,8.00626234256795,8.00626234256795,8.00626234256795,8.00626234256795,8.00626234256795
Netherlands,7.317567923896842,7.540223640945039,7.540223640945039,7.540223640945039,7.540223640945039,7.540223640945039
Sweden,7.2719810099871225,7.2719810099871225,7.2719810099871225,7.425492715772522,7.2719810099871225,7.425492715772522
New Zealand,7.42969342075169,7.179231025844738,7.42969342075169,7.42969342075169,7.42969342075169,7.42969342075169
Australia,7.097836266811605,7.405605839912528,7.405605839912528,7.097836266811605,7.405605839912528,7.097836266811605
Israel,7.110364817252761,7.260598215031075,7.260598215031075,7.110364817252761,7.260598215031075,7.110364817252761
Costa Rica,7.421482690293495,6.760073689084465,7.421482690293495,6.760073689084465,7.421482690293495,6.760073689084465
Austria,7.374840941027481,6.993462465874675,7.374840941027481,6.993462465874675,7.374840941027481,6.993462465874675
Mexico,7.6679770237655545,5.566213194326066,5.566213194326066,5.566213194326066,7.6679770237655545,7.6679770237655545
United States,7.005914205208076,7.005914205208076,6.922593865443594,6.922593865443594,6.922593865443594,6.922593865443594
Brazil,6.105684786660244,6.105684786660244,6.105684786660244,6.703064397223385,6.105684786660244,6.105684786660244
Luxembourg,6.498250765938203,7.579559693390321,6.498250765938203,7.579559693390321,7.579559693390321,7.579559693390321
Ireland,6.999091147633771,6.99908783690686,6.99908783690686,6.99908783690686,6.99908783690686,6.99908783690686
Belgium,7.113380941193118,6.706787199975462,6.706787199975462,6.706787199975462,6.706787199975462,6.706787199975462
United Arab Emirates,6.812091079379412,6.612236239054009,6.612236239054009,6.612236239054009,6.612236239054009,6.612236239054009
United Kingdom,7.780677913785614,7.780677913785614,6.295345127820673,7.780677913785614,6.295345127820673,6.295345127820673
Singapore,6.831840532138193,6.049464986238258,6.831840532138193,6.831840532138193,6.049464986238258,6.831840532138193
Panama,5.833735822282119,5.833735822282119,5.833735822282119,6.9679426943559,6.9679426943559,5.833735822282119
Germany,6.852548365515142,7.12939131948196,6.852548365515142,7.12939131948196,7.12939131948196,7.12939131948196
Chile,6.821626737370603,6.117695611990127,6.117695611990127,6.117695611990127,6.821626737370603,6.821626737370603
France,6.41550473631808,6.756084164194824,6.41550473631808,6.756084164194824,6.756084164194824,6.756084164194824
Argentina,5.9190324001923615,5.9190324001923615,5.9190324001923615,6.5723141387865365,6.5723141387865365,5.9190324001923615
Czech,6.404362542278567,7.1810161016608,7.1810161016608,7.1810161016608,7.1810161016608,7.1810161016608
Uruguay,6.388473864684967,6.388473864684967,6.388473864684967,6.388473864684967,6.506353190237479,6.388473864684967
Colombia,5.441530635127044,7.091089894746011,7.091089894746011,7.091089894746011,5.441530635127044,7.091089894746011
Thailand,6.3579773134478375,6.3579773134478375,5.738071944786995,5.738071944786995,5.738071944786995,5.738071944786995
Saudi Arabia,6.5654674932507335,6.224789246716066,6.224789246716066,6.224789246716066,6.224789246716066,6.224789246716066
Spain,6.123818313230931,6.649019909181107,6.649019909181107,6.649019909181107,6.649019909181107,6.649019909181107
Malta,6.271068942987517,6.871775735090439,6.871775735090439,6.871775735090439,6.871775735090439,6.871775735090439
Taiwan,6.32341295769058,6.32341295769058,6.5659862870485695,6.32341295769058,6.5659862870485695,6.32341295769058
Kuwait,5.9712797945400045,6.242948159561817,6.242948159561817,6.242948159561817,6.242948159561817,6.242948159561817
El Salvador,6.48644131611829,6.48644131611829,5.783817395139363,5.783817395139363,6.48644131611829,5.783817395139363
Guatemala,6.167817692414963,6.621171682511796,6.621171682511796,6.621171682511796,6.167817692414963,6.167817692414963
Uzbekistan,5.9822932414096375,5.9822932414096375,6.1784185957602595,6.1784185957602595,5.9822932414096375,6.1784185957602595
Slovakia,5.835458082056792,6.556720700999006,6.556720700999006,6.556720700999006,6.556720700999006,6.556720700999006
Japan,5.95034293818038,5.890987363961487,5.95034293818038,5.890987363961487,5.890987363961487,5.95034293818038
South Korea,5.856226986243258,5.856226986243258,5.856226986243258,5.89141494796909,5.856226986243258,5.856226986243258
Ecuador,5.764944532963013,6.190709337002033,5.764944532963013,6.190709337002033,5.764944532963013,5.764944532963013
Bahrain,6.38425445028174,6.037683944663348,6.38425445028174,6.38425445028174,6.037683944663348,6.037683944663348
Italy,5.899223184735433,6.331609896245593,5.899223184735433,6.331609896245593,6.331609896245593,6.331609896245593
Bolivia,5.9530750027088715,5.583937558936616,5.9530750027088715,5.583937558936616,5.9530750027088715,5.9530750027088715
